﻿objectid;insee;annee;sante_plaf;educ_plaf;revenu_plaf;idh2;nomcom;pop
272;77261;2013;0.61803998;0.37766569;0.48045976;0.49205514;Lorrez-le-Bocage-Préaux;1283
413;77408;2013;0.56458876;0.47035044;0.64671246;0.56055055;Saint-Fiacre;407
887;91319;2013;0.80108721;0.66771408;0.6861487;0.71831666;Janvry;620
997;92014;2013;0.79630938;0.85042375;0.73361243;0.79344852;Bourg-la-Reine;19712
1220;95371;2013;0.55442314;0.41407331;0.57103123;0.51317589;Marly-la-Ville;5561
1252;95492;2013;0.53121653;0.51319648;;;Le Plessis-Gassot;68
1364;77046;2006;0.72413005;0.34479809;0.52785168;0.53225994;Boulancourt;349
1470;77156;2006;0.57103522;0.15084557;0.48876589;0.4035489;Darvault;783
1610;77300;2006;;0.42007273;0.56490233;;Montceaux-lès-Meaux;613
1648;77340;2006;0.62557684;0.32333465;0.55228919;0.50040023;Nonville;611
1649;77341;2006;0.61458714;0.29694719;0.48255124;0.46469519;Noyen-sur-Seine;358
1712;77408;2006;0.81865405;0.39961174;0.61338245;0.61054942;Saint-Fiacre;371
1778;77475;2006;0.50282496;0.30729717;0.51085296;0.44032503;Trilport;4793
1810;77512;2006;0.45173454;0.18044388;0.3974669;0.34321511;Villeneuve-sur-Bellot;1135
2033;78516;2006;0.86341431;0.58999304;0.6487886;0.70073198;Raizeux;809
2034;78517;2006;0.62846285;0.52174598;0.57409797;0.57476893;Rambouillet;25661
2043;78537;2006;0.61937051;0.42555035;0.60329245;0.54940444;Saint-Arnoult-en-Yvelines;5699
2116;91086;2006;0.53249521;0.46518525;0.59852293;0.5320678;Bondoufle;9477
2237;91525;2006;0.49742681;0.56757379;0.59093898;0.55197986;Roinville;1168
2387;94044;2006;0.72437552;0.4244143;0.46700771;0.53859918;Limeil-Brévannes;18957
2489;95268;2006;0.52299048;0.12693923;0.07407455;0.24133476;Garges-lès-Gonesse;39672
2672;77055;1999;0.47590994;0.19235889;0.46630007;0.37818963;Brou-sur-Chantereine;4282
2838;77229;1999;0.27432913;0.21589748;0.50425099;0.33149253;La Houssaye-en-Brie;1457
2886;77277;1999;0.31604178;0.18175537;0.5058902;0.33456245;Marles-en-Brie;1294
2958;77353;1999;0.48536407;0.25273962;0.48943888;0.40918086;Paley;411
2962;77357;1999;0.08325465;0.11084535;0.4339563;0.2093521;Pécy;675
3113;77516;1999;0.40105981;0.24876016;0.48202284;0.37728093;Ville-Saint-Jacques;672
3122;77525;1999;;0.1042603;0.49299423;;Vinantes;287
3324;78498;1999;0.45527425;0.29327191;0.4663659;0.40497068;Poissy;35815
3540;91538;1999;;0.754402;0.8031739;;Saint-Aubin;695
113;77097;2013;0.5235208;0.32096334;0.50467839;0.44972084;Chartronges;295
124;77109;2013;0.77602802;0.24478152;0.45067805;0.49049586;Chenoise;1328
347;77338;2013;0.82213209;0.42090176;0.49123101;0.57808829;Noisy-Rudignon;613
375;77369;2013;0.6470851;0.35622141;0.59422033;0.53250894;Poincy;696
646;78302;2013;0.66995718;0.78742375;0.71183286;0.72307127;La Hauteville;177
706;78440;2013;0.65200334;0.23484018;0.23389944;0.37358098;Les Mureaux;31487
730;78503;2013;0.38779088;0.28894282;0.60304231;0.426592;Port-Villez;245
780;78642;2013;0.67011586;0.6528563;0.63158196;0.65151804;Verneuil-sur-Seine;15050
1067;93079;2013;0.56861412;0.24813196;0.16231076;0.32635228;Villetaneuse;12451
1167;95181;2013;0.45566318;0.65544721;0.6781669;0.59642576;Courcelles-sur-Viosne;299
1234;95430;2013;0.48572512;0.5176261;0.62321922;0.54219015;Montsoult;3414
1302;75103;2006;0.60484353;0.85963031;0.63149177;0.6986552;Paris 3e Arrondissement;34721
1332;77013;2006;;0.38070168;0.52146039;;Aulnoy;379
1771;77468;2006;0.53145833;0.42457028;0.36507108;0.44036656;Torcy;22299
1939;78290;2006;0.2196029;0.31713856;0.53563347;0.35745831;Guernes;902
2159;91215;2006;0.50306603;0.33584389;0.31018731;0.38303241;Épinay-sous-Sénart;13144
2487;95258;2006;0.52419817;0.54810779;0.65521626;0.57584074;Frouville;372
2628;77010;1999;0.68824076;0.17886653;0.46960353;0.44557027;Aubepierre-Ozouer-le-Repos;869
2670;77053;1999;0.4493255;0.26237817;0.50672105;0.40614157;Brie-Comte-Robert;13404
2717;77103;1999;;0.27230834;0.5419833;;Châtillon-la-Borde;204
3012;77409;1999;0.36440008;0.09510521;0.40218421;0.28722983;Saint-Germain-Laval;2600
3082;77480;1999;0.49898786;0.15465462;0.41059017;0.35474422;Valence-en-Brie;659
3118;77521;1999;0.61324144;0.26794753;0.47957425;0.45358774;Villiers-sur-Morin;1527
3190;78163;1999;;0.27844791;0.54511909;;Civry-la-Forêt;310
